date,bike_rides_daily,avgTemp
2022-01-01,565,11.6
2022-01-02,1130,11.4
2022-01-03,940,1.4
2022-01-04,1000,-2.7
2022-01-05,922,3.2
2022-01-06,1230,4.9
2022-01-07,486,0.7
2022-01-08,648,-2.5
2022-01-09,588,1.4
2022-01-10,919,1.6
2022-01-11,736,-5.4
2022-01-12,1052,-1.9
2022-01-13,1344,4.0
2022-01-14,1352,4.8
2022-01-15,618,-6.7
2022-01-16,552,-8.0
2022-01-17,808,3.9
2022-01-18,1079,1.8
2022-01-19,1420,3.2
2022-01-20,933,5.1
2022-01-21,901,-6.0
2022-01-22,866,-5.9
2022-01-23,887,-0.7
2022-01-24,1124,-0.2
2022-01-25,1396,3.6
2022-01-26,1154,-2.3
2022-01-27,1234,-4.2
2022-01-28,926,0.1
2022-01-29,77,-4.8
2022-01-30,263,-7.1
2022-01-31,607,-3.4
2022-02-01,814,-1.7
2022-02-02,1122,2.3
2022-02-03,744,6.4
2022-02-04,539,5.8
2022-02-05,780,-2.8
2022-02-06,796,-4.8
2022-02-07,793,0.5
2022-02-08,1385,4.1
2022-02-09,1506,2.8
2022-02-10,1626,6.3
2022-02-11,1783,8.6
2022-02-12,1851,11.8
2022-02-13,543,2.8
2022-02-14,918,-4.3
2022-02-15,1123,-4.7
2022-02-16,1406,1.6
2022-02-17,1862,11.6
2022-02-18,1258,9.9
2022-02-19,833,0.1
2022-02-20,812,-2.6
2022-02-21,1379,4.1
2022-02-22,958,5.6
2022-02-23,1864,14.4
2022-02-24,1205,1.1
2022-02-25,838,0.8
2022-02-26,1157,-1.1
2022-02-27,1140,2.4
2022-02-28,1273,0.8
2022-03-01,1482,2.6
2022-03-02,1799,7.7
2022-03-03,1540,5.6
2022-03-04,1330,-1.9
2022-03-05,1416,3.1
2022-03-06,1436,9.6
2022-03-07,1863,18.2
2022-03-08,1664,8.7
2022-03-09,779,3.2
2022-03-10,1721,4.0
2022-03-11,1882,7.2
2022-03-12,571,5.1
2022-03-13,774,-2.3
2022-03-14,1707,5.3
2022-03-15,2054,11.6
2022-03-16,2227,13.6
2022-03-17,1375,8.2
2022-03-18,2448,13.9
2022-03-19,2062,13.1
2022-03-20,1715,14.3
2022-03-21,2024,10.4
2022-03-22,2061,10.7
2022-03-23,1682,7.2
2022-03-24,1285,5.7
2022-03-25,1999,9.6
2022-03-26,1624,10.4
2022-03-27,1250,5.9
2022-03-28,1058,-1.5
2022-03-29,1279,-1.2
2022-03-30,1663,2.6
2022-03-31,1870,9.9
2022-04-01,1861,13.1
2022-04-02,1963,7.2
2022-04-03,981,7.0
2022-04-04,1797,7.6
2022-04-05,1918,9.7
2022-04-06,1285,8.6
2022-04-07,970,9.1
2022-04-08,2362,12.8
2022-04-09,1833,11.4
2022-04-10,1587,8.6
2022-04-11,1962,8.8
2022-04-12,2463,13.4
2022-04-13,2683,15.4
2022-04-14,2361,16.3
2022-04-15,2629,15.7
2022-04-16,2263,15.7
2022-04-17,1466,8.3
2022-04-18,1461,7.9
2022-04-19,1547,7.6
2022-04-20,2260,9.4
2022-04-21,2042,10.6
2022-04-22,2608,14.6
2022-04-23,2548,13.3
2022-04-24,2259,12.8
2022-04-25,2027,10.4
2022-04-26,1992,11.5
2022-04-27,2204,11.6
2022-04-28,2069,8.2
2022-04-29,2331,10.4
2022-04-30,2663,12.9
2022-05-01,2578,13.6
2022-05-02,1416,12.1
2022-05-03,2545,12.4
2022-05-04,2155,12.0
2022-05-05,2995,17.2
2022-05-06,901,14.8
2022-05-07,524,10.0
2022-05-08,1611,10.4
2022-05-09,2520,13.5
2022-05-10,2820,15.4
2022-05-11,2901,16.1
2022-05-12,2998,17.1
2022-05-13,2576,16.0
2022-05-14,2062,17.9
2022-05-15,2875,18.8
2022-05-16,2112,20.4
2022-05-17,3032,19.7
2022-05-18,3111,17.8
2022-05-19,2400,15.5
2022-05-20,2338,15.4
2022-05-21,3172,21.2
2022-05-22,2830,27.8
2022-05-23,2747,21.0
2022-05-24,2768,17.4
2022-05-25,3038,16.2
2022-05-26,2955,16.4
2022-05-27,2428,20.2
2022-05-28,2237,20.4
2022-05-29,2713,20.7
2022-05-30,2734,23.3
2022-05-31,2672,28.3
2022-06-01,2380,17.8
2022-06-02,2623,20.3
2022-06-03,3205,19.5
2022-06-04,3444,21.9
2022-06-05,3104,20.0
2022-06-06,2952,22.2
2022-06-07,2747,21.8
2022-06-08,3330,23.7
2022-06-09,3240,24.4
2022-06-10,3317,21.8
2022-06-11,3069,21.8
2022-06-12,2466,20.5
2022-06-13,3043,24.2
2022-06-14,3213,23.9
2022-06-15,3372,23.3
2022-06-16,2706,20.3
2022-06-17,3262,25.2
2022-06-18,2886,21.7
2022-06-19,2870,17.3
2022-06-20,3005,20.5
2022-06-21,2635,22.1
2022-06-22,2563,19.1
2022-06-23,3064,19.2
2022-06-24,3297,21.9
2022-06-25,3185,25.8
2022-06-26,2883,27.0
2022-06-27,2097,24.3
2022-06-28,3304,22.4
2022-06-29,3260,23.9
2022-06-30,3106,25.4
2022-07-01,2831,28.1
2022-07-02,2356,28.7
2022-07-03,2418,26.9
2022-07-04,2470,25.6
2022-07-05,2360,25.9
2022-07-06,2969,26.0
2022-07-07,2984,24.2
2022-07-08,2616,23.5
2022-07-09,3317,24.7
2022-07-10,3233,23.4
2022-07-11,3024,24.0
2022-07-12,3066,25.8
2022-07-13,3185,28.9
2022-07-14,3246,26.6
2022-07-15,3195,26.1
2022-07-16,3006,24.3
2022-07-17,3019,25.7
2022-07-18,2229,26.2
2022-07-19,3157,28.2
2022-07-20,3145,31.3
2022-07-21,2971,29.8
2022-07-22,2916,30.9
2022-07-23,2868,30.3
2022-07-24,2732,31.1
2022-07-25,2620,29.8
2022-07-26,3319,25.9
2022-07-27,3305,25.5
2022-07-28,3079,26.7
2022-07-29,3124,28.2
2022-07-30,3260,26.7
2022-07-31,3077,26.3
2022-08-01,2723,23.1
2022-08-02,3246,26.4
2022-08-03,3369,27.6
2022-08-04,3164,29.1
2022-08-05,3177,29.3
2022-08-06,3264,29.6
2022-08-07,2526,29.6
2022-08-08,2776,30.3
2022-08-09,2984,31.3
2022-08-10,3280,27.2
2022-08-11,2996,26.6
2022-08-12,3296,25.6
2022-08-13,3517,23.1
2022-08-14,2942,24.0
2022-08-15,2914,24.3
2022-08-16,3284,23.6
2022-08-17,3268,23.6
2022-08-18,3276,24.1
2022-08-19,3260,26.3
2022-08-20,3453,27.9
2022-08-21,3007,25.3
2022-08-22,2294,24.5
2022-08-23,3118,25.9
2022-08-24,3292,26.9
2022-08-25,3264,28.1
2022-08-26,2853,27.4
2022-08-27,3133,27.8
2022-08-28,2886,24.6
2022-08-29,2868,26.0
2022-08-30,3030,26.8
2022-08-31,3355,25.6
2022-09-01,3222,25.9
2022-09-02,3203,21.7
2022-09-03,2977,22.8
2022-09-04,2624,25.3
2022-09-05,2610,25.8
2022-09-06,1070,23.3
2022-09-07,3126,20.8
2022-09-08,3676,21.8
2022-09-09,3562,21.9
2022-09-10,3768,23.6
2022-09-11,1817,23.2
2022-09-12,3129,22.4
2022-09-13,3305,24.7
2022-09-14,3615,22.9
2022-09-15,3605,21.8
2022-09-16,3553,19.6
2022-09-17,3572,20.8
2022-09-18,3139,23.4
2022-09-19,2815,25.6
2022-09-20,3560,23.2
2022-09-21,3698,22.0
2022-09-22,2781,21.8
2022-09-23,3052,15.1
2022-09-24,3017,14.5
2022-09-25,2376,19.2
2022-09-26,2840,19.4
2022-09-27,3159,19.7
2022-09-28,3400,17.2
2022-09-29,3198,16.6
2022-09-30,3128,14.5
2022-10-01,1620,14.8
2022-10-02,1356,15.2
2022-10-03,1369,11.5
2022-10-04,1418,10.3
2022-10-05,1892,13.8
2022-10-06,3319,17.6
2022-10-07,3413,20.3
2022-10-08,2706,13.9
2022-10-09,2531,12.3
2022-10-10,2639,15.8
2022-10-11,2975,17.0
2022-10-12,3211,17.9
2022-10-13,1941,18.7
2022-10-14,3061,15.7
2022-10-15,3103,16.2
2022-10-16,2687,16.1
2022-10-17,2311,16.6
2022-10-18,2729,12.6
2022-10-19,2648,10.0
2022-10-20,2900,11.1
2022-10-21,2933,13.4
2022-10-22,3008,14.4
2022-10-23,1796,14.7
2022-10-24,1713,14.1
2022-10-25,2606,16.9
2022-10-26,3009,18.3
2022-10-27,3172,16.9
2022-10-28,2861,11.3
2022-10-29,2749,10.8
2022-10-30,2557,12.5
2022-10-31,2664,14.4
2022-11-01,2811,16.9
2022-11-02,3093,17.6
2022-11-03,3142,15.7
2022-11-04,3212,15.2
2022-11-05,3257,19.4
2022-11-06,2745,19.8
2022-11-07,2981,21.3
2022-11-08,2626,13.2
2022-11-09,2619,8.7
2022-11-10,2815,12.6
2022-11-11,1486,16.4
2022-11-12,3028,19.7
2022-11-13,1909,12.9
2022-11-14,1990,6.3
2022-11-15,1779,4.9
2022-11-16,2108,7.3
2022-11-17,2062,5.7
2022-11-18,1947,4.5
2022-11-19,1581,2.8
2022-11-20,1213,2.7
2022-11-21,1559,1.1
2022-11-22,2036,6.6
2022-11-23,1985,9.4
2022-11-24,1011,8.1
2022-11-25,1154,10.0
2022-11-26,1552,9.3
2022-11-27,922,10.7
2022-11-28,1945,12.2
2022-11-29,2082,5.4
2022-11-30,1398,8.4
2022-12-01,1889,5.7
2022-12-02,2056,3.4
2022-12-03,1206,10.6
2022-12-04,1731,7.0
2022-12-05,2043,5.4
2022-12-06,1438,9.3
2022-12-07,2057,13.8
2022-12-08,2365,11.6
2022-12-09,2120,5.3
2022-12-10,1710,2.2
2022-12-11,823,3.4
2022-12-12,1669,1.6
2022-12-13,1670,0.3
2022-12-14,1812,1.7
2022-12-15,1122,2.7
2022-12-16,773,6.2
2022-12-17,1528,5.0
2022-12-18,1274,3.1
2022-12-19,1481,1.7
2022-12-20,1609,1.9
2022-12-21,1575,1.0
2022-12-22,1074,3.8
2022-12-23,732,7.5
2022-12-24,317,-11.7
2022-12-25,230,-6.9
2022-12-26,530,-4.7
2022-12-27,874,-0.7
2022-12-28,1193,3.4
2022-12-29,1430,6.4
2022-12-30,1727,9.3
2022-12-31,820,8.2
