,start_station_name,value
1571,W 21 St & 6 Ave,3407
1701,West St & Chambers St,3259
493,Broadway & W 58 St,3131
285,6 Ave & W 33 St,2817
8,1 Ave & E 68 St,2769
459,Broadway & E 14 St,2706
483,Broadway & W 25 St,2641
1495,University Pl & E 14 St,2576
461,Broadway & E 21 St,2574
1587,W 31 St & 7 Ave,2540
782,E 33 St & 1 Ave,2519
29,12 Ave & W 40 St,2467
286,6 Ave & W 34 St,2446
586,Cleveland Pl & Spring St,2409
24,11 Ave & W 41 St,2363
1096,Lafayette St & E 8 St,2356
1702,West St & Liberty St,2335
558,Central Park S & 6 Ave,2334
790,E 40 St & Park Ave,2292
336,9 Ave & W 22 St,2230
